depth	min	max	median	mean
220.630372492837	14510	15089	14880	14859
221.63323782235	14556	15106	14915	14894
222.636103151862	14600	15139	14948	14929
223.638968481375	14633	15188	14981	14963
224.641833810888	14655	15253	15012	14998
225.644699140401	14691	15311	15050	15037
226.647564469914	14728	15368	15089	15079
227.650429799427	14763	15443	15125	15121
228.65329512894	14789	15526	15161	15162
229.656160458453	14817	15620	15194	15204
230.659025787966	14895	15728	15250	15268
231.661891117479	14985	15849	15326	15343
232.664756446991	15046	16001	15396	15418
233.667621776504	15086	16158	15461	15493
234.670487106017	15117	16313	15518	15568
235.67335243553	15183	16447	15613	15673
236.676217765043	15244	16573	15727	15792
237.679083094556	15281	16796	15827	15911
238.681948424069	15301	17107	15933	16030
239.684813753582	15324	17451	16028	16149
240.687679083095	15387	17588	16118	16235
241.690544412607	15433	17641	16197	16306
242.69340974212	15474	17684	16268	16377
243.696275071633	15516	17746	16330	16448
244.699140401146	15546	17834	16397	16519
245.702005730659	15608	17904	16469	16590
246.704871060172	15669	17951	16549	16662
247.707736389685	15716	17989	16627	16733
248.710601719198	15750	18043	16701	16805
249.713467048711	15798	18111	16780	16876
250.716332378224	15865	18158	16853	16943
251.719197707736	15922	18189	16921	17008
252.722063037249	15974	18224	16985	17073
253.724928366762	16021	18257	17051	17137
254.727793696275	16056	18309	17120	17202
255.730659025788	16123	18340	17194	17268
256.733524355301	16182	18362	17260	17334
257.736389684814	16247	18389	17323	17399
258.739255014327	16296	18422	17385	17465
259.74212034384	16340	18459	17456	17531
260.744985673352	16380	18489	17493	17570
261.747851002865	16429	18516	17526	17600
262.750716332378	16472	18551	17557	17629
263.753581661891	16510	18592	17597	17659
264.756446991404	16542	18630	17633	17689
265.759312320917	16585	18663	17663	17718
266.76217765043	16635	18685	17692	17746
267.765042979943	16671	18716	17718	17775
268.767908309456	16708	18751	17748	17803
269.770773638968	16747	18787	17783	17831
270.773638968481	16808	18809	17823	17869
271.776504297994	16868	18833	17871	17910
272.779369627507	16923	18850	17918	17950
273.78223495702	16960	18882	17976	17991
274.785100286533	16988	18917	18031	18031
275.787965616046	17097	18951	18098	18091
276.790830945559	17172	18979	18166	18156
277.793696275072	17251	19019	18239	18221
278.796561604585	17307	19071	18334	18287
279.799426934097	17352	19130	18419	18352
280.80229226361	17424	19164	18489	18415
281.805157593123	17499	19201	18556	18477
282.808022922636	17567	19238	18631	18539
283.810888252149	17614	19278	18702	18602
284.813753581662	17655	19339	18772	18664
285.816618911175	17765	19364	18830	18730
286.819484240688	17859	19387	18892	18797
287.822349570201	17932	19415	18949	18863
288.825214899713	18028	19441	19016	18930
289.828080229226	18083	19480	19078	18997
290.830945558739	18283	19505	19139	19070
291.833810888252	18503	19526	19199	19145
292.836676217765	18704	19547	19262	19219
293.839541547278	18844	19577	19327	19294
294.842406876791	18950	19636	19400	19369
295.845272206304	19024	19664	19441	19413
296.848137535817	19107	19691	19479	19453
297.85100286533	19164	19717	19516	19492
298.853868194842	19207	19749	19550	19531
299.856733524355	19242	19797	19587	19570
300.859598853868	19270	19821	19609	19596
301.862464183381	19298	19845	19631	19619
302.865329512894	19334	19866	19652	19642
303.868194842407	19360	19893	19674	19665
304.87106017192	19383	19926	19694	19688
305.873925501433	19410	19941	19711	19705
306.876790830946	19431	19953	19729	19722
307.879656160458	19450	19969	19746	19738
308.882521489971	19469	19987	19761	19755
309.885386819484	19488	20010	19777	19772
310.888252148997	19520	20019	19794	19789
311.89111747851	19541	20029	19811	19806
312.893982808023	19560	20046	19827	19823
313.896848137536	19578	20061	19846	19840
314.899713467049	19596	20083	19862	19857
315.902578796562	19618	20094	19878	19875
316.905444126075	19643	20110	19896	19892
317.908309455587	19666	20127	19915	19909
318.9111747851	19683	20147	19931	19927
319.914040114613	19699	20169	19947	19944
320.916905444126	19718	20187	19964	19961
321.919770773639	19736	20203	19981	19977
322.922636103152	19750	20224	19996	19993
323.925501432665	19763	20243	20010	20010
324.928366762178	19776	20272	20026	20026
325.931232091691	19798	20283	20041	20041
326.934097421203	19815	20299	20057	20057
327.936962750716	19829	20317	20073	20072
328.939828080229	19843	20334	20088	20088
329.942693409742	19854	20352	20102	20103
330.945558739255	19881	20373	20118	20119
331.948424068768	19902	20391	20133	20135
332.951289398281	19918	20409	20149	20151
333.954154727794	19935	20423	20163	20167
334.957020057307	19944	20446	20178	20182
335.95988538682	19968	20461	20193	20198
336.962750716332	19990	20476	20208	20214
337.965616045845	20005	20499	20223	20230
338.968481375358	20018	20510	20237	20245
339.971346704871	20030	20539	20254	20261
340.974212034384	20066	20564	20273	20283
341.977077363897	20093	20591	20294	20304
342.97994269341	20116	20613	20314	20326
343.982808022923	20134	20650	20337	20348
344.985673352436	20145	20699	20358	20370
345.988538681948	20183	20725	20387	20401
346.991404011461	20212	20766	20417	20432
347.994269340974	20235	20809	20445	20464
348.997134670487	20249	20865	20472	20495
350	20264	20938	20502	20526
