"Interval","Taxon","NISP"
290,"Thomomys_NISP",0
295,"Thomomys_NISP",0
300,"Thomomys_NISP",0
305,"Thomomys_NISP",0
310,"Thomomys_NISP",0
315,"Thomomys_NISP",0
320,"Thomomys_NISP",0
325,"Thomomys_NISP",0
330,"Thomomys_NISP",0
335,"Thomomys_NISP",0
340,"Thomomys_NISP",0
345,"Thomomys_NISP",0
350,"Thomomys_NISP",0
0,"Microtus_ochrogaster_NISP",0
5,"Microtus_ochrogaster_NISP",0
10,"Microtus_ochrogaster_NISP",0
15,"Microtus_ochrogaster_NISP",0
20,"Microtus_ochrogaster_NISP",0
25,"Microtus_ochrogaster_NISP",0
30,"Microtus_ochrogaster_NISP",0
35,"Microtus_ochrogaster_NISP",0
40,"Microtus_ochrogaster_NISP",0
45,"Microtus_ochrogaster_NISP",0
50,"Microtus_ochrogaster_NISP",0
55,"Microtus_ochrogaster_NISP",0
60,"Microtus_ochrogaster_NISP",0
65,"Microtus_ochrogaster_NISP",0
70,"Microtus_ochrogaster_NISP",0
75,"Microtus_ochrogaster_NISP",0
80,"Microtus_ochrogaster_NISP",0
85,"Microtus_ochrogaster_NISP",0
90,"Microtus_ochrogaster_NISP",2
95,"Microtus_ochrogaster_NISP",0
100,"Microtus_ochrogaster_NISP",3
105,"Microtus_ochrogaster_NISP",3
110,"Microtus_ochrogaster_NISP",2
115,"Microtus_ochrogaster_NISP",0
120,"Microtus_ochrogaster_NISP",5
125,"Microtus_ochrogaster_NISP",3
130,"Microtus_ochrogaster_NISP",6
135,"Microtus_ochrogaster_NISP",2
140,"Microtus_ochrogaster_NISP",3
145,"Microtus_ochrogaster_NISP",5
150,"Microtus_ochrogaster_NISP",3
155,"Microtus_ochrogaster_NISP",20
160,"Microtus_ochrogaster_NISP",5
165,"Microtus_ochrogaster_NISP",0
170,"Microtus_ochrogaster_NISP",0
175,"Microtus_ochrogaster_NISP",1
180,"Microtus_ochrogaster_NISP",0
185,"Microtus_ochrogaster_NISP",1
190,"Microtus_ochrogaster_NISP",2
