Specimen_Number,Genus,Species,Institution,SIDE,SVL_A,SVL_P,TL,Life Stage,Sex,Hum_L,Hum_DW,Fem_L
1431,Ambystoma,maculatum,UTEP,R,73,80,NA,NA,Male,8.776,2.909,NA
1431,Ambystoma,maculatum,UTEP,L,73,80,NA,NA,Male,8.614,2.759,NA
1436,Ambystoma,maculatum,UTEP,R,57,62,NA,NA,Female,5.505,2.018,NA
1436,Ambystoma,maculatum,UTEP,L,57,62,NA,NA,Female,5.509,2.028,NA
1438,Ambystoma,maculatum,UTEP,L,40,44,71,NA,Female,4.313,1.175,NA
1690,Ambystoma,tigrinum,UTEP,NA,53,57,90,NA,NA,9.011,2.807,NA
1698,Ambystoma,mavortium,UTEP,NA,113,128,212,NA,NA,13.004,4.291,NA
1710,Ambystoma,texanum,UTEP,L,77,84,137,NA,Male,7.046,2.261,NA
1710,Ambystoma,texanum,UTEP,R,77,84,137,NA,Male,6.876,2.342,NA
1714,Ambystoma,texanum,UTEP,L,69,75,110,NA,Male,6.583,2.098,NA
1714,Ambystoma,texanum,UTEP,R,69,75,110,NA,Male,6.395,2.067,NA
1720,Ambystoma,texanum,UTEP,R,68,72,111,NA,Female,6.016,2,NA
1720,Ambystoma,texanum,UTEP,L,68,72,111,NA,Female,6.365,2.024,NA
1721,Ambystoma,texanum,UTEP,R,72,76,123,NA,Male,6.927,2.028,NA
1721,Ambystoma,texanum,UTEP,L,72,76,123,NA,Male,6.499,1.947,NA
1725,Ambystoma,texanum,UTEP,L,74,82,145,NA,Female,7.22,2.224,NA
1725,Ambystoma,texanum,UTEP,R,74,82,145,NA,Female,6.732,2.02,NA
1726,Ambystoma,texanum,UTEP,L,73,81,145,NA,NA,6.869,2.242,NA
1726,Ambystoma,texanum,UTEP,R,73,81,145,NA,NA,6.944,2.299,NA
1734,Ambystoma,texanum,UTEP,R,55,60,100,NA,Male,5.371,1.795,NA
1734,Ambystoma,texanum,UTEP,L,55,60,100,NA,Male,5.455,1.824,NA
1737,Ambystoma,texanum,UTEP,L,78,83,135,NA,Male,6.672,2.274,NA
1737,Ambystoma,texanum,UTEP,R,78,83,135,NA,Male,7.045,2.202,NA
4694,Ambystoma,tigrinum,TMM,L,NA,NA,NA,NA,NA,14.617,5.428,NA
4694,Ambystoma,tigrinum,TMM,R,NA,NA,NA,NA,NA,14.048,5.294,NA
13739,Ambystoma,tigrinum,TMM,R,NA,NA,NA,NA,NA,14.621,5.169,NA
13739,Ambystoma,tigrinum,TMM,L,NA,NA,NA,NA,NA,14.361,4.798,NA
78188,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,5.981,1.893,NA
78188,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,5.733,1.825,NA
78189,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,6.352,1.724,NA
78189,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,6.34,1.74,NA
78190,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,6.03,1.709,NA
78190,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,5.921,1.707,NA
78191,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,4.472,1.174,NA
78191,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,4.723,1.234,NA
78192,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,5.881,1.724,NA
78192,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,6.08,1.783,NA
78193,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,6.254,1.629,NA
78193,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,6.43,1.875,NA
78200,Ambystoma,texanum,LSUMZ,L,NA,NA,NA,NA,NA,5.03,1.498,NA
78200,Ambystoma,texanum,LSUMZ,R,NA,NA,NA,NA,NA,4.972,1.56,NA
78504,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,5.937,1.83,NA
78504,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,5.631,1.759,NA
78505,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,5.508,1.681,NA
78505,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,5.663,1.753,NA
78506,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,5.5,1.764,NA
78506,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,5.261,1.726,NA
78508,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,7.236,2.135,NA
78508,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,7.04,2.107,NA
78509,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,5.288,1.794,NA
78509,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,5.149,1.724,NA
78638,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,7.272,2.107,NA
78638,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,7.181,2.125,NA
81048,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,4.987,1.499,NA
81092,Ambystoma,opacum,LSUMZ,R,NA,NA,NA,NA,NA,7.951,2.193,NA
81092,Ambystoma,opacum,LSUMZ,L,NA,NA,NA,NA,NA,7.973,2.182,NA
